Taxon	SCF1	GCF2	SBFA1	NCK3	SBFB2	NCF1	SBFA3	NBFB3	GCF1	SCFBF3	CS2	GCK3	SCK3	GCF3	GCFBF1	SBFB1	GBFB2	NCFBF3	NBFA3	CS1	SCF2	NBFB2	NBFA2	NCK1	NCK2	NBFA1	NBFB1	SCF3	SCK1	NCFBF1	GCFBF2	GCK1	SBFA2	CT3	CT1	SCFBF1	GBFB3	GBFA3	CT2	CS3	SCK2	GBFA2	NCF2	GBFB1	SCFBF2	SBFB3	NCF3	NCFBF2	GBFA1	GCFBF3	GCK2
Archaea;Euryarchaeota;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Archaea;Euryarchaeota;Thermoplasmata;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Abditibacteriota;Abditibacteriia;Abditibacteriales;Abditibacteriaceae	17.0	0.0	3.0	4.0	9.0	4.0	7.0	1.0	0.0	5.0	0.0	1.0	8.0	1.0	3.0	10.0	12.0	2.0	2.0	1.0	30.0	1.0	3.0	9.0	2.0	4.0	1.0	8.0	69.0	0.0	9.0	3.0	4.0	0.0	7.0	8.0	6.0	7.0	1.0	0.0	7.0	1.0	6.0	49.0	15.0	2.0	4.0	3.0	2.0	37.0	0.0
Bacteria;Acidobacteriota;Acidobacteria_Gp1;Unclassified;Unclassified	4.0	7.0	1.0	25.0	3.0	19.0	0.0	15.0	4.0	0.0	0.0	5.0	0.0	18.0	4.0	2.0	17.0	20.0	9.0	2.0	1.0	12.0	11.0	42.0	74.0	30.0	24.0	1.0	4.0	0.0	29.0	14.0	0.0	54.0	25.0	1.0	3.0	32.0	17.0	0.0	1.0	57.0	14.0	1.0	7.0	2.0	16.0	6.0	13.0	0.0	0.0
Bacteria;Acidobacteriota;Acidobacteria_Gp10;Unclassified;Unclassified	0.0	6.0	0.0	31.0	1.0	41.0	1.0	17.0	8.0	0.0	0.0	11.0	0.0	19.0	7.0	3.0	52.0	11.0	65.0	0.0	0.0	0.0	19.0	17.0	10.0	17.0	2.0	0.0	2.0	9.0	18.0	16.0	0.0	3.0	0.0	1.0	5.0	16.0	0.0	0.0	2.0	11.0	2.0	2.0	2.0	0.0	10.0	9.0	10.0	2.0	0.0
Bacteria;Acidobacteriota;Acidobacteria_Gp13;Unclassified;Unclassified	0.0	3.0	1.0	11.0	0.0	7.0	0.0	2.0	0.0	1.0	0.0	3.0	0.0	3.0	2.0	0.0	7.0	8.0	4.0	1.0	0.0	7.0	0.0	9.0	16.0	6.0	8.0	0.0	0.0	0.0	4.0	2.0	0.0	12.0	7.0	0.0	3.0	4.0	6.0	0.0	0.0	9.0	0.0	1.0	1.0	0.0	1.0	5.0	5.0	0.0	1.0
Bacteria;Acidobacteriota;Acidobacteria_Gp14;Unclassified;Unclassified	0.0	6.0	4.0	3.0	0.0	3.0	0.0	5.0	0.0	0.0	0.0	4.0	0.0	4.0	4.0	0.0	4.0	2.0	1.0	0.0	3.0	18.0	2.0	7.0	15.0	2.0	33.0	4.0	0.0	0.0	5.0	0.0	4.0	25.0	8.0	0.0	2.0	3.0	6.0	0.0	1.0	2.0	1.0	0.0	1.0	3.0	2.0	2.0	5.0	1.0	0.0
Bacteria;Acidobacteriota;Acidobacteria_Gp16;Unclassified;Unclassified	252.0	220.0	147.0	381.0	88.0	991.0	125.0	464.0	109.0	147.0	28.0	252.0	198.0	382.0	380.0	230.0	609.0	338.0	285.0	17.0	93.0	111.0	852.0	839.0	397.0	597.0	173.0	72.0	150.0	151.0	554.0	350.0	137.0	538.0	338.0	164.0	389.0	1707.0	211.0	26.0	255.0	464.0	284.0	62.0	192.0	267.0	353.0	445.0	800.0	96.0	7.0
Bacteria;Acidobacteriota;Acidobacteria_Gp17;Unclassified;Unclassified	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	8.0	1.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Bacteria;Acidobacteriota;Acidobacteria_Gp2;Unclassified;Unclassified	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	20.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Acidobacteriota;Acidobacteria_Gp21;Unclassified;Unclassified	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0
Bacteria;Acidobacteriota;Acidobacteria_Gp25;Unclassified;Unclassified	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Acidobacteriota;Acidobacteria_Gp3;Unclassified;Unclassified	37.0	47.0	4.0	81.0	28.0	60.0	3.0	47.0	2.0	16.0	0.0	35.0	7.0	64.0	47.0	39.0	70.0	57.0	54.0	3.0	11.0	57.0	43.0	66.0	94.0	44.0	60.0	16.0	12.0	44.0	30.0	32.0	1.0	188.0	92.0	23.0	49.0	69.0	74.0	0.0	46.0	83.0	29.0	21.0	24.0	28.0	35.0	52.0	38.0	16.0	1.0
Bacteria;Acidobacteriota;Acidobacteria_Gp4;Unclassified;Unclassified	1.0	11.0	0.0	9.0	1.0	7.0	0.0	12.0	5.0	0.0	0.0	3.0	1.0	20.0	3.0	2.0	5.0	28.0	5.0	1.0	0.0	4.0	4.0	15.0	6.0	6.0	10.0	0.0	0.0	46.0	1.0	10.0	0.0	8.0	10.0	1.0	1.0	12.0	11.0	0.0	0.0	4.0	2.0	2.0	0.0	3.0	11.0	21.0	3.0	1.0	0.0
Bacteria;Acidobacteriota;Acidobacteria_Gp5;Unclassified;Unclassified	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	5.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	3.0	0.0	3.0	1.0	0.0	0.0	0.0	3.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0
Bacteria;Acidobacteriota;Acidobacteria_Gp6;Unclassified;Unclassified	280.0	157.0	75.0	196.0	64.0	459.0	113.0	207.0	40.0	175.0	172.0	123.0	72.0	208.0	89.0	153.0	726.0	291.0	268.0	5.0	108.0	41.0	169.0	482.0	179.0	158.0	63.0	97.0	233.0	163.0	287.0	279.0	110.0	266.0	160.0	152.0	355.0	654.0	102.0	2.0	146.0	180.0	76.0	162.0	150.0	261.0	312.0	307.0	220.0	102.0	3.0
Bacteria;Acidobacteriota;Acidobacteria_Gp7;Unclassified;Unclassified	0.0	5.0	1.0	6.0	0.0	14.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	3.0	30.0	2.0	5.0	1.0	0.0	0.0	8.0	23.0	10.0	3.0	3.0	0.0	0.0	0.0	6.0	4.0	0.0	27.0	29.0	0.0	1.0	20.0	7.0	0.0	0.0	1.0	2.0	0.0	3.0	0.0	10.0	2.0	8.0	0.0	0.0
