# Construct
#OTU ID	SCF1	GCF2	SBFA1	NCK3	SBFB2	NCF1	SBFA3	NBFB3	GCF1	SCFBF3	CS2	GCK3	SCK3	GCF3	GCFBF1	SBFB1	GBFB2	NCFBF3	NBFA3	CS1	SCF2	NBFB2	NBFA2	NCK1	NCK2	NBFA1	NBFB1	SCF3	SCK1	NCFBF1	GCFBF2	GCK1	SBFA2	CT3	CT1	SCFBF1	GBFB3	GBFA3	CT2	CS3	SCK2	GBFA2	NCF2	GBFB1	SCFBF2	SBFB3	NCF3	NCFBF2	GBFA1	GCFBF3	GCK2	taxonomy
Otu4056	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	2	0	0	0	Bacteria; Pseudomonadota; Deltaproteobacteria
Otu4057	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria
Otu4054	0	0	0	2	0	0	2	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	2	1	1	1	0	0	0	0	6	0	0	1	0	1	0	1	2	0	0	2	1	0	0	0	0	0	0	0	0	Bacteria
Otu3824	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Bacteria; Pseudomonadota; Deltaproteobacteria; Bdellovibrionales; Bdellovibrionaceae; Bdellovibrio; Bdellovibrio_bacteriovorus
Otu4052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Bacteria; CandidatusSaccharibacteria; Unclassified; Unclassified; Unclassified; Saccharibacteria
Otu4053	1	0	0	2	0	3	0	1	0	2	0	1	0	0	0	1	0	1	2	0	0	0	1	2	0	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	Bacteria; Chloroflexota; Caldilineae; Caldilineales; Caldilineaceae; Litorilinea; Litorilinea_aerophila
Otu4050	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	Bacteria; Pseudomonadota; Deltaproteobacteria; Desulfuromonadales
Otu4051	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	Bacteria; Armatimonadota; Unclassified; Unclassified; Unclassified; Armatimonadetes_gp4
Otu4537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales
Otu3822	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	Bacteria; Planctomycetota; Phycisphaerae; Phycisphaerales; Phycisphaeraceae
