SampleID	Description	Group
NCK1	Kontrol negatif: tanah dari sekitar akar wijen tanpa perlakuan	A
NCK2	Kontrol negatif: tanah dari sekitar akar wijen tanpa perlakuan	A
NCK3	Kontrol negatif: tanah dari sekitar akar wijen tanpa perlakuan	A
NCF1	Kontrol positif: tanah dari sekitar akar wijen dengan pupuk kimia	B
NCF2	Kontrol positif: tanah dari sekitar akar wijen dengan pupuk kimia	B
NCF3	Kontrol positif: tanah dari sekitar akar wijen dengan pupuk kimia	B
NBFA1	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml	C
NBFA2	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml	C
NBFA3	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml	C
NBFB1	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 15ml	D
NBFB2	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 15ml	D
NBFB3	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 15ml	D
NCFBF1	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml + pupuk kimia	E
NCFBF2	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml + pupuk kimia	E
NCFBF3	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml + pupuk kimia	E
GCK1	Kontrol negatif: tanah dari sekitar akar wijen tanpa perlakuan + cekaman garam	F
GCK2	Kontrol negatif: tanah dari sekitar akar wijen tanpa perlakuan + cekaman garam	F
GCK3	Kontrol negatif: tanah dari sekitar akar wijen tanpa perlakuan + cekaman garam	F
GCF1	Kontrol positif: tanah dari sekitar akar wijen dengan pupuk kimia + cekaman garam	G
GCF2	Kontrol positif: tanah dari sekitar akar wijen dengan pupuk kimia + cekaman garam	G
GCF3	Kontrol positif: tanah dari sekitar akar wijen dengan pupuk kimia + cekaman garam	G
GBFA1	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml + cekaman garam	H
GBFA2	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml + cekaman garam	H
GBFA3	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml + cekaman garam	H
GBFB1	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 15ml + cekaman garam	I
GBFB2	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 15ml + cekaman garam	I
GBFB3	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 15ml + cekaman garam	I
GCFBF1	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml + pupuk kimia + cekaman garam	J
GCFBF2	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml + pupuk kimia + cekaman garam	J
GCFBF3	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml + pupuk kimia + cekaman garam	J
SCK1	Kontrol negatif: tanah dari sekitar akar wijen tanpa perlakuan + tanah distrerilisasi sebelum dipakai	K
SCK2	Kontrol negatif: tanah dari sekitar akar wijen tanpa perlakuan + tanah distrerilisasi sebelum dipakai	K
SCK3	Kontrol negatif: tanah dari sekitar akar wijen tanpa perlakuan + tanah distrerilisasi sebelum dipakai	K
SCF1	Kontrol positif: tanah dari sekitar akar wijen dengan pupuk kimia + tanah distrerilisasi sebelum dipakai	L
SCF2	Kontrol positif: tanah dari sekitar akar wijen dengan pupuk kimia + tanah distrerilisasi sebelum dipakai	L
SCF3	Kontrol positif: tanah dari sekitar akar wijen dengan pupuk kimia + tanah distrerilisasi sebelum dipakai	L
SBFA1	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml + tanah distrerilisasi sebelum dipakai	M
SBFA2	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml + tanah distrerilisasi sebelum dipakai	M
SBFA3	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml + tanah distrerilisasi sebelum dipakai	M
SBFB1	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 15ml + tanah distrerilisasi sebelum dipakai	N
SBFB2	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 15ml + tanah distrerilisasi sebelum dipakai	N
SBFB3	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 15ml + tanah distrerilisasi sebelum dipakai	N
SCFBF1	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml + pupuk kimia + tanah distrerilisasi sebelum dipakai	O
SCFBF2	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml + pupuk kimia + tanah distrerilisasi sebelum dipakai	O
SCFBF3	Tanah dari sekitar akar wijen dengan perlakuan biofertilizer 10ml + pupuk kimia + tanah distrerilisasi sebelum dipakai	O
CT1	Kontrol tanah awal tanpa tananaman wijen	P
CT2	Kontrol tanah awal tanpa tananaman wijen	P
CT3	Kontrol tanah awal tanpa tananaman wijen	P
CS1	Kontrol tanah awal tanpa tananaman wijen yang disterilisasi	Q
CS2	Kontrol tanah awal tanpa tananaman wijen yang disterilisasi	Q
CS3	Kontrol tanah awal tanpa tananaman wijen yang disterilisasi	Q
